CU 0102707,3249,33980,598.49,0,2589,31989.49
CU 0102708,3250,17500,598.49,0,10750,7348.49
CU 0102712,3255,18000,598.49,0,2450,16148.49
CU 0102566,3257,22500,185.29,0,3774.24,18911.05
CU 0102713,3258,32173,185.29,0,3292.23,29066.06
CU 0100197,3259,36835,185.29,3259.9,1434.14,38846.05
CU 0102714,3260,34525,598.49,0,3105,32018.49
CU 0102718,3261,25162,598.49,0,1750,24010.49
CU 0102719,3262,22400,598.49,0,1750,21248.49
CU 0102720,3263,36349,598.49,0,3634.9,33312.59
CU 0100709,3264,17860,598.49,0,0,18458.49
CU 0102721,3265,19335.2,185.29,0,2660.7,16859.79
CU 0102723,3266,24884,185.29,0,2488.4,22580.89
CU 0102725,3268,31341,185.29,2773.68,3044.1,31255.87
CU 0102727,3273,17500,185.29,1548.75,1750,17484.04
CU 0102729,3275,33550,598.49,0,4233.44,29915.05
CU 0102730,"3276, 3277",35000,185.29,0,3500,31685.29
CU 0102731,"3278, 3367",51184,185.29,4529.78,5118.4,50780.67
CU 0102733,"3281, 3390, 3391",92607,598.49,0,9223.2,83982.29
CU 0102735,3282,71221,598.49,0,3263,68556.49
CU 0102089,3284,56570,185.29,5006.45,7407,54354.74
CU 0102737,3286,38877,598.49,0,29435.33,10040.16
CU 0102739,3287,49951,185.29,0,4995.1,45141.19
CU 0102743,3303,62661,598.49,0,6266.1,56993.39
CU 0102744,3304,25652,598.49,0,2562.7,23687.79
CU 0101947,3307,24750,185.29,2190.38,286.56,26839.11
CU 0102749,3308,23099,185.29,0,2309.9,20974.39
CU 0102793,3350,27475,185.29,2431.54,2747.5,27344.33
CU 0102794,3351,26650,598.49,0,2665,24583.49
CU 0102800,3354,35748,185.29,3163.7,32274.27,6822.72
CU 0102801,"3355, 3356, 3357, 3358, 3359, 3360, 3361, 3362",210122,185.29,0,20994.2,189313.09
CU 0102802,"3363, 3369",72698,185.29,6433.77,7528.43,71788.63
CU 0102803,3364,17500,598.49,0,0,18098.49
CU 0102804,3365,24850,185.29,0,2515,22520.29
CU 0102805,3366,23895,185.29,0,17685.29,6395
CU 0102806,3368,18750,185.29,1659.38,1875,18719.67
CU 0102807,3370,17500,185.29,0,1750,15935.29
CU 0102808,"3371, 3372, 3373",99194,598.49,0,9671.9,90120.59
CU 0100890,3374,20475,598.49,0,3073.13,18000.36
CU 0102810,3375,31455,185.29,0,2777.5,28862.79
CU 0102811,3376,27159,185.29,0,2745.9,24598.39
CU 0102814,3380,30096,185.29,2663.5,33750,-805.21
CU 0102815,3381,25457,598.49,0,2513.9,23541.59
CU 0102817,3384,45487,598.49,0,1875,44210.49
CU 0102819,3386,26899,185.29,2380.56,2689.9,26774.95
CU 0102821,3388,28467,598.49,0,28555,510.49
CU 0102822,3389,17500,185.29,0,1750,15935.29
CU 0102825,"3392, 3394",55598,598.49,0,5737.7,50458.79
CU 0102826,3393,47193,598.49,0,47110.4,681.09
CU 0102827,3395,17500,185.29,0,1750,15935.29
CU 0102829,3397,24100,598.49,0,24396.88,301.61
CU 0101308,3398,28617,598.49,0,11731.5,17483.99
CU 0102831,3399,20200,185.29,0,1875,18510.29
CU 0101580,3387,50640,598.49,0,0,51238.49
CU 0102833,3400,23150,598.49,0,2315,21433.49
CU 0101588,3267,42025,598.49,0,1810,40813.49
CU 0100602,"3292, 3293",151345,598.49,0,23547.18,128396.31
